RA[deg],DEC[deg],Reff[arcsec],PetroMag_i,CLASS,z
194.76667,28.23972,1.5,16.681562423706055,1,0.021
194.76667,27.99944,3.2,18.576135635375977,1,0.021
194.7675,28.25222,1.2,16.681562423706055,1,0.021
194.77167,28.13111,2.2,18.576135635375977,1,0.021
194.77292,28.655,1.4,14.944588661193848,1,0.021
194.77333,28.32694,1.5,15.898338317871094,1,0.021
194.77333,27.76694,2.1,18.15433120727539,1,0.021
194.77375,27.75667,1.8,16.176820755004883,1,0.021
194.775,28.54806,1.1,17.487485885620117,1,0.021
194.77542,28.11972,2.1,17.467926025390625,1,0.021
194.77583,28.13222,1.5,18.719999313354492,1,0.021
194.7775,27.88056,3.4,17.487485885620117,1,0.021
194.77958,27.86111,1.2,17.467926025390625,1,0.021
194.78208,27.81,1.3,18.719999313354492,1,0.021
194.78208,28.21917,1.2,19.079999923706055,1,0.021
194.78375,28.675,1.2,18.232641220092773,1,0.021
194.78583,28.26056,1.6,17.506376266479492,1,0.021
194.78667,28.32,1.3,17.861106872558594,1,0.021
194.78708,27.96,1.8,12.970000267028809,1,0.021
194.78708,28.28917,1.9,17.861106872558594,1,0.021
194.79,28.28667,2.4,12.970000267028809,1,0.021
194.79042,28.42111,1.3,17.86236572265625,1,0.021
194.79375,28.5675,1.8,17.09101676940918,1,0.021
194.79375,27.72389,1.3,15.691282272338867,1,0.021
194.795,27.97722,1.4,17.000276565551758,1,0.021
194.795,27.99694,1.7,14.638646125793457,1,0.021
194.79833,28.20722,2.4,18.20643424987793,1,0.021
194.79958,28.60722,1.2,15.600000381469727,1,0.021
194.8,28.24667,1.0,15.600000381469727,1,0.021
194.80125,28.08667,1.6,16.205961227416992,1,0.021
194.80167,28.67472,1.4,17.097002029418945,1,0.021
194.80167,28.25556,2.1,17.70799446105957,1,0.021
194.80292,27.81361,1.3,17.97188377380371,1,0.021
194.80292,28.47806,1.7,18.178796768188477,1,0.021
194.805,27.83333,1.2,17.960763931274414,1,0.021
194.80583,28.41444,1.2,16.859535217285156,1,0.021
194.80667,28.55833,1.6,17.920162200927734,1,0.021
194.80792,28.27083,0.9,14.808406829833984,1,0.021
194.80792,27.97111,2.2,17.920162200927734,1,0.021
194.80917,28.43778,1.1,14.808406829833984,1,0.021
194.81,28.26583,1.2,17.630422592163086,1,0.021
194.81042,28.03778,2.4,17.376293182373047,1,0.021
194.8125,28.23889,1.0,18.383668899536133,1,0.021
194.81292,27.9175,1.4,17.080326080322266,1,0.021
194.81542,28.27667,1.7,18.600000381469727,1,0.021
194.81542,28.59194,1.5,16.221670150756836,1,0.021
194.81792,27.82917,1.6,16.221670150756836,1,0.021
